Nascido num dia Azul,livro/nao-ficcao/autobiografia/memoria/biografia/neurodiversidade/espectro-autista/psicologia/memorias/ciencia/saude-mental,30,1
As tormentas de espadas,livro/george-martin/game-of-thrones/fantasia/ficcao/epica/fantasia-scifi/alta-fantasia/adulto/aventura/dragao/epico,100,1
Encontro com rama,livro/arthur-c-clarke/scifi/ficcao/classico/fantasia-scifi/espaco/alien/hugo-awards/novel/fantasia,65,1
36 righteous man,livro/steven-pressfield/ficcao/suspense/scifi/fantasia/misterio/paranormal/suspense-de-misterio/acao/distopia,22,1
Tai-pan,livro/ficcao-historica/ficcao/historia/china/aventura/asia/classico/novel/literatura/literatura-asiatica/james-clavell,108,1
Killing Rommel,livro/steven-pressfield/ficcao-historica/ficcao/ficcao-militar/guerra/segunda-guerra/historia/suspense/africa/aventura/novel,88,1
The Profession,livro/steven-pressfield/ficcao/suspense/ficcao-militar/scifi/ficcao-historica/aventura/guerra/politica,55,1
O feiticeiro de Terramar,livro/fantasia/ficcao/young-adult/classico/fantasia-scifi/magia/alta-fantasia/scifi/aventura/dragao,24,1
The colour of magic,livro/fantasia/ficcao/comedia/comedia/scifi/magia/fantasia-scifi/aventura/novel/pratchet,44,1
Shadowline,livro/glen-cook/scifi/ficcao/fantasia/espaco/space-opera/fantasia-scifi/guerra/antologia/colecoes/literatura-americana,77,1
The Dragon Never Sleeps,livro/glen-cook/scifi/ficcao/espaco/space-opera/fantasia/ficcao-militar/aventura/fantasia-scifi/ficcao-especulativa/antologia/colecoes,150,1
O algoritimo mestre,livro/nao-ficcao/ciencia/tecnologia/inteligencia-artificial/ciencia-da-computacao/negocios/programacao/filosofia/tecnico/computacao,64,1
Os tambores da chuva,livro/historia/medieval,180,1
Santo guerreiro roma invicta,livro/historia/antiguidade/roma/ficcao,36,1
Conan 2,livro/conan/fantasia/ficcao/capa-e-espada/aventura/pulp/contos/classico/fantasia-scifi/scifi/alta-fantasia,30,1
uma historia dos povos arabes,livro/historia/nao-ficcao/religiao/isla/politica/historia/historia-mundial/referencia/norte-da-africa/egito,30,1
a colher que desaparece,livro/sam-kean/ciencias/nao-ficcao/historia/quimica/ciencia-popular/historia-da-ciencia/fisica/microhistoria,47,1
Marx no fliperama,livro/nao-ficcao/sociologia/filosofia/politica/videogames/cultura/trabalhadores/historia,32,1
o polegar do violinista,livro/sam-kean/ciencias/nao-ficcao/historia/biologia/genetica/ciencia-popular/evolucao/medicina/medico,47,1
o duelo dos neurocirurgioes,livro/sam-kean/nao-ficcao/ciencias/historia/psicologia/neurociencia/medico/medicina/saude/biologia,50,1
Os proprios deuses,livro/scifi/espaco/asimov,44,1
The Best of Glen Cook: 18 Stories from the Author of The Black Company and The Dread Empire,livro/glen-cook/fantasia/scifi,86,1
Fogo e Sangue,livro/george-martin/game-of-thrones/fantasia/ficcao/dragao/epica/alta-fantasia/adulto/fantasia-scifi/novel/nao-finalizado,16,1
Armas germes e aco,livro/historia/nao-ficcao/ciencias/antropologia/sociologia/politica/economia/historia-geral,53,1
cartas ao papai noel,livro/tolkien/natal/fantasia/ficcao/classico/infantil/literatura-britanica,42,1
roverando,livro/tolkien/fantasia/ficcao/infantil/classico/aventura/contos/fantasia-scifi/literatura-britanica,33,1
o feiticeiro do bosque maior,livro/tolkien/fantasia/ficcao/classico/contos/infantil/fantasia-scifi/conto-de-fadas/literatura-britanica,35,1
mestre giles d'aldeia,livro/tolkien/fantasia/ficcao/classico/contos/infantil/dragao/aventura/comedia/literatura-britanica,35,1
the virtues of war,livro/steven-pressfield/ficcao-historica/ficcao/ficcao-militar/guerra/historia/antiguidade/grecia/novel/literatura/historia-militar,69,1
Cafe da manha dos campeoes,livro/kurt-vonnegut/ficcao/classico/scifi/comedia/literatura/novel/america/ficcao-literaria/comedia,36,1
Last of the Amazons,livro/steven-pressfield/ficcao-historica/ficcao/historia/fantasia/guerra/mitologia/grecia/ficcao-militar/antiguidade,67,1
A cidade e a cidade,livro/fantasia/ficcao/scifi/misterio/crime/fantasia-urbana/ficcao-especulativa/fantasia-scifi/weird-fiction/new-weird,35,1
tides of war,livro/steven-pressfield/ficcao-historica/ficcao/guerra/ficcao-militar/historia/grecia/novel/fantasia/antiguidade/literatura-antiga,43,1
Fahrenheit  451,livro/ray-bradbury/classico/ficcao/scifi/distopia/academico/literatura/novel/fantasia/adulto/fantasia-scifi,25,1
The Afghan Campaign,livro/steven-pressfield/ficcao-historica/ficcao/ficcao-militar/historia/guerra/antiguidade/grecia/acao/novel,85,1
Cama de gato,livro/kurt-vonnegut/ficcao/classico/scifi/comedia/literatura/novel/distopia/america/fantasia/literatura-seculo-20,21,1
Matadouro-cinco,livro/kurt-vonnegut/classico/ficcao/scifi/guerra/ficcao-historica/literatura/novel/viagem-no-tempo/america/fantasia,27,1
a man at arms,livro/steven-pressfield/ficcao-historica/ficcao/ficcao-militar/aventura/novel/historia/literatura-antiga/roma/cristanismo/guerra,138,1
Doomstalker,livro/glen-cook/fantasia/scifi/ficcao/fantasia-scifi/dark-fantasy,54,1
The Heirs of Babylon,livro/glen-cook/scifi/ficcao/pos-apocaliptico/fantasia-scifi/fantasia/apocalipse,79,1
A Matter of Time,livro/glen-cook/scifi/ficcao/viagem-no-tempo/fantasia/fantasia-scifi,82,1
Sung In Blood,livro/glen-cook/fantasia/ficcao/fantasia-scifi/scifi,76,1
The Tyranny of the Night,livro/glen-cook/fantasia/ficcao/epica/dark-fantasy/fantasia-scifi/guerra/epico/alta-fantasia/ficcao-militar/colecoes/antologia,51,1
A Shadow of All Night Falling,livro/glen-cook/fantasia/dark-fantasy/ficcao/alta-fantasia/fantasia-scifi/antologia/colecoes/epica/capa-e-espada/epica/scifi,58,1
Historias de robos 2,livro/scifi/robo/ficcao-especulativa/ficcao/asimov,20,1
As cronicas de conan 2,livro/conan/fantasia/hq/graphic-novel/ficcao/capa-e-espada/acao/pulp/marvel,54,1
Conan da aquilonia,livro/hq/fantasia/graphic-novel/ficcao/capa-e-espada/aventura,0,1
Regras do jogo,livro/jogos/game-design/nao-ficcao/design/videogames/pesquisa/referencia-bibliografica/educacao/psicologia,39,1
Revolutionaries at Sony,livro/historia/jogos,1587,1
Fundacao e Terra,livro/asimov/scifi/ficcao/fantasia-scifi/classico/espaco/fantasia/novel/space-opera/ficcao-especulativa,44,1
black company book of the south,livro/glen-cook/companhia-negra/fantasia/ficcao/dark-fantasy/epica/ficcao-militar/fantasia-scifi/guerra/alta-fantasia/epico/sombrio,60,1
As cronicas de Marte,livro/scifi/ficcao/antologia/fantasia/contos/espaco/aventura/espada-e-planeta/fantasia-scifi/alien,36,1
realismo capitalista,livro/nao-ficcao/politica/filosofia/economia/sociologia/historia,0,1
o segundo sexo,livro/Beauvoir/feminismo/nao-ficcao/filosofia/classico/mulheres/genero/sociologia/politica/estudo-de-genero,0,1
tecnologia do oprimido,livro/politica/brasil/socialismo/economia/filosofia/antropologia,0,1
carta no coturno,livro/nao-ficcao/historia/brasil,0,1
stalin man of history,livro/historia/biografia/nao-ficcao/russia/uniao-sovietica/stalin,0,1
biblioteca gaiman 1,livro/hq/graphic-novel/fantasia/ficcao/contos/terror/misterio,0,1
Belas maldicoes,livro/pratchet/gaiman/fantasia/ficcao/comedia/fantasia-urbana/comedia/adulto/scifi/sobrenatural,0,1
flecha de fogo,livro/ficcao/leonel-caldela/fantasia/tormenta/brasil/dark-fantasy/aventura,0,1
elric,livro/ficcao/fantasia/capa-e-espada/epica/dark-fantasy/alta-fantasia,0,1
snow crash,livro/scifi/ficcao/cyberpunk/fantasia/scifi/fantasia/distopia/ficcao-especulativa/novel/classico,0,1
mistborn,livro/brandon-sanderson,0,1
o aprendiz de assassino,livro/robin-hobb,0,1
o nome do vento,livro,0,1
serie a primeira lei,livro/joe-abercrombie,0,1
serie malazano dos caidos,livro/steven-erikson,0,1
discworld,livro/terry-pratched,0,1
malice,john-gwynne/livro,0,1