baldurs gate 3,jogo/rpg/narrativa/turnos/ded/aventura/crpg/fantasia/estrategia/dark-fantasy/playstation,60,1
mario luiggi superstar saga,jogo/mario/rpg/jrpg/aventura/comedia/nintendo/classico/cult,0,1
dragon quest IV,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
dragon quest V,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
dragon quest VI,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
dragon quest VIII,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,28,1
dragon quest VII,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,28,1
dragon quest IX,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,28,1
octopath traveler 2,jogo/nintendo/rpg/turnos/jrpg/2.5d/party-rpg/mundo-aberto/narrativa/fofo/estrategia/anime/pixel-art/fantasia/casual/magia/atmosferico/aventura,60,0
horizon forbidden west,jogo/acao/rpg/pos-apocaliptico/scifi/aventura/playstation,300,1
final fantasy XVI,jogo/rpg/jrpg/fantasia/aventura/anime/medieval//acao/terceira-pessoa/3d/playstation,70,1
Final Fantasy VII Rebirth,jogo/final-fantasy/ff7/rpg/action/rpg/jrpg/aventura/party-rpg/terceira-pessoa/acao/3d/fantasia/plataforma/magia/realista/cinematografico/drama/narrativa,70,1
dragon quest builders,jogo/dragon-quest/rpg/plataforma/jrpg/3d/fofo/terceira-pessoa/acao/voxel/mundo-aberto/fantasia/colorido/anime/survivor/construcao/aventura/crafting/nintendo,24,1
return of the monkey island,jogo/monkey-island/adventure/aventura/comedia/quebra-cabeca/nintendo,19,1
Spider-man 2,jogo/homem-aranha/acao/mundo-aberto/super-heroi/aventura/terceira-pessoa/combate/parkour/narrativa/exploracao/furtivo/hq/beatn-up/rpg/scifi/bonito/adulto/playstation,70,1
dragon age,jogo/pc/rpg/crpg/fantasia/narrativa/tempo-real-com-pausa/adulto/aventura/sombrio/estrategia/dragoes/classico/mundo-aberto,0,1
solasta,jogo/pc/rpg/crpg/narrativa/turno/dungeons-and-dragons/aventura/fantasia/estrategia,0,1
tyranny,jogo/pc/rpg/narrativa/isometrico/crpg/fantasia/sombrio/aventura/protagonista-vilao/tempo-real-com-pausa/atmosferico/mundo-aberto,0,1
final fantasy I,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy V,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy vi,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy II,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy III,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy IV,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy VIII,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,15,1
final fantasy IX,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy X,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,7,1
final fantasy X-2,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,7,1
final fantasy XII,jogo/nintendo/jrpg/rpg/turnos/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,42,1
mother 3,jogo/rpg/aventura/anime/jrpg/nintendo/japao/comedia/pixel-art/earthbound,0,1
romacing saga,jogo/nintendo/rpg/jrpg/fantasia/aventura/anime/medieval/comedia/retro/classico/pixel-art,0,1
animal well,jogo/switch/exploracao/metroidvania/quebra-cabeca/plataforma/terror/pixel-art/aventura/acao/misterio/2d/atmosferico/relaxante/fofo/surrealista/nao-linear/retro/indie,25,1
chained echoes,jogo/rpg/jrpg/aventura/playstation/acao/fantasia,48,1
contradiction,jogo/detetive/crime/fmv/atmosferico/indie/ficcao-interativa/misterio/point-and-click/exploracao/rpg/narrativa/retro/immersive/conspiracao/aventura/estrategia/quebra-cabeca/cinematografico/pc,0,1
dark souls remastered,jogo/soulslike/dificil/acao/ninja/furtivo/aventura/terceira-pessoa/mundo-aberto/narrativa/violencia/atmosferico/dark-fantasy/hack-and-slash/rpg/sombrio,60,1
the expanse,jogo/rpg/aventura/acao/exploracao/scifi/espaco/3d/terceira-pessoa/drama/violencia/narrativa/lgbt/playstation,20,1
pentiment,jogo/aventura/historia/investigacao/narrativa/estilizado/exploracao/desenhado-a-mao/ficcao-interativa/misterio/detetive/2d/conspiracao/casual/medieval/point-and-click/nintendo,20,1
star trek ressurgence,jogo/ficcao-interativa/visual-novel/point-and-click/acao/aventura/terceira-pessoa/narrativa/casual/scifi/espacial/drama/cinematografico/futurista,25,1
star wars knight
vampire the masquerade